电视节目,#genre#
精彩影视,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000396
CHC家庭影院,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000393
CHC动作电影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000392
CHC影迷电影,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000394
CCTV-1高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000231
CCTV-2高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000295
CCTV-3高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000302
CCTV-4高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000342
CCTV-5高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000304
CCTV5+高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000230
CCTV-6高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000305
CCTV-7高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000290
CCTV-8高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000307
CCTV-9高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000294
CCTV-10高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000293
CCTV-11高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000389
CCTV-12高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000292
CCTV-13高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000387
CCTV-14少儿高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000291
CCTV-15高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000388
CCTV-17高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000346
重庆卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000365
重庆新闻高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000367
重庆影视剧高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000372
重庆社会与法高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000375
重庆红岩文化高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000369
重庆娱乐高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000370
重庆新农村高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000376
重庆少儿高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000374
重庆红叶高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000373
重庆汽摩高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000371
CQTV移动高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000384
中学生,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000430
中国交通,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000420
河南卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000423
湖南卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000228
浙江卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000224
江苏卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000225
东方卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000232
安徽卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000296
贵州卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000340
天津卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000223
